bin,county,primary_owner,primary_maintenance,condition_rating
1000140,ALBANY,NYSDOT,NYSDOT,5.87
1002621,ALBANY,NYSDOT,NYSDOT,5.574
1002622,ALBANY,NYSDOT,NYSDOT,5.656
1004200,ALBANY,NYSDOT,NYSDOT,5.452
1004250,ALBANY,NYSDOT,NYSDOT,6.194
1004261,ALBANY,NYSDOT,NYSDOT,6.65
1004262,ALBANY,NYSDOT,NYSDOT,6.259
1004279,ALBANY,NYSDOT,NYSDOT,4.361
1007560,ALBANY,NYSDOT,NYSDOT,5.077
1007570,ALBANY,NYSDOT,NYSDOT,2.969
1007580,ALBANY,NYSDOT,NYSDOT,5.541
1007590,ALBANY,NYSDOT,NYSDOT,3.885
1007610,ALBANY,NYSDOT,NYSDOT,5.143
1007620,ALBANY,NYSDOT,NYSDOT,4.797
1015950,ALBANY,NYSDOT,NYSDOT,5.737
1015970,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.149
1015980,ALBANY,NYSDOT,NYSDOT,5.328
1022400,ALBANY,NYSDOT,NYSDOT,5.214
1022410,ALBANY,NYSDOT,NYSDOT,4.857
1022420,ALBANY,NYSDOT,NYSDOT,5.29
1022430,ALBANY,NYSDOT,NYSDOT,4
1022440,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.031
1022450,ALBANY,NYSDOT,NYSDOT,6.375
1022479,ALBANY,NYSDOT,NYSDOT,4.947
1022500,ALBANY,NYSDOT,NYSDOT,5.931
1025250,ALBANY,NYSDOT,NYSDOT,6.143
1025260,ALBANY,NYSDOT,NYSDOT,3.952
1025270,ALBANY,NYSDOT,NYSDOT,5.545
1025280,ALBANY,NYSDOT,NYSDOT,6.385
1025310,ALBANY,NYSDOT,NYSDOT,6.179
1025320,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.281
1030990,ALBANY,NYSDOT,NYSDOT,4.934
1032630,ALBANY,NYSDOT,NYSDOT,6
1032660,ALBANY,NYSDOT,NYSDOT,6.442
1032680,ALBANY,NYSDOT,NYSDOT,6.444
1032690,ALBANY,NYSDOT,NYSDOT,5.491
1032700,ALBANY,NYSDOT,NYSDOT,6.3
1033101,ALBANY,NYSDOT,NYSDOT,4.721
1033102,ALBANY,NYSDOT,NYSDOT,5.066
1033111,ALBANY,NYSDOT,NYSDOT,4.197
1033112,ALBANY,NYSDOT,NYSDOT,4.361
1033121,ALBANY,NYSDOT,NYSDOT,4.339
1033122,ALBANY,NYSDOT,NYSDOT,4.456
1033131,ALBANY,NYSDOT,NYSDOT,6
1033132,ALBANY,NYSDOT,NYSDOT,6.321
1033141,ALBANY,NYSDOT,NYSDOT,6.702
1033142,ALBANY,NYSDOT,NYSDOT,6.702
1033160,ALBANY,NYSDOT,NYSDOT,4.554
1033171,ALBANY,NYSDOT,NYSDOT,6.673
1033172,ALBANY,NYSDOT,NYSDOT,6.481
1034479,ALBANY,NYSDOT,NYSDOT,6.459
1034489,ALBANY,NYSDOT,NYSDOT,5.016
1034491,ALBANY,NYSDOT,NYSDOT,4.79
1034492,ALBANY,NYSDOT,NYSDOT,5.371
1034519,ALBANY,NYSDOT,NYSDOT,4.929
1034529,ALBANY,NYSDOT,NYSDOT,4.859
1034551,ALBANY,NYSDOT,NYSDOT,5.982
1034552,ALBANY,NYSDOT,NYSDOT,6.071
1038020,ALBANY,NYSDOT,NYSDOT,4.574
1038030,ALBANY,NYSDOT,NYSDOT,6.371
1038070,ALBANY,NYSDOT,NYSDOT,4.081
1038080,ALBANY,NYSDOT,NYSDOT,6.203
1038100,ALBANY,NYSDOT,NYSDOT,6.125
1038120,ALBANY,NYSDOT,NYSDOT,4.934
1038130,ALBANY,NYSDOT,NYSDOT,5.074
1038180,ALBANY,NYSDOT,NYSDOT,5.125
1038190,ALBANY,NYSDOT,NYSDOT,5
1038200,ALBANY,NYSDOT,NYSDOT,6.6
1038210,ALBANY,NYSDOT,NYSDOT,4.439
1038220,ALBANY,NYSDOT,NYSDOT,3.786
1038230,ALBANY,NYSDOT,NYSDOT,5.875
1038290,ALBANY,NYSDOT,NYSDOT,5.885
1038300,ALBANY,NYSDOT,NYSDOT,5.339
1038310,ALBANY,NYSDOT,NYSDOT,4.029
1038320,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.873
1038620,ALBANY,NYSDOT,NYSDOT,6.348
1038630,ALBANY,NYSDOT,NYSDOT,6.705
1038640,ALBANY,NYSDOT,NYSDOT,4.561
1038650,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,6
1038660,ALBANY,30 - County,30 - County,6.228
1038670,ALBANY,NYSDOT,NYSDOT,6.537
1038680,ALBANY,NYSDOT,NYSDOT,5.029
1038690,ALBANY,NYSDOT,NYSDOT,6.193
1047029,ALBANY,NYSDOT,NYSDOT,6.115
1047480,ALBANY,NYSDOT,NYSDOT,4.857
1047490,ALBANY,NYSDOT,NYSDOT,5.188
1047510,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,3.886
1047520,ALBANY,NYSDOT,NYSDOT,5.385
1049669,ALBANY,NYSDOT,NYSDOT,5.726
1050049,ALBANY,NYSDOT,NYSDOT,4.785
1053380,ALBANY,42 - City,42 - City,4.333
1053390,ALBANY,NYSDOT,NYSDOT,5.466
1054460,ALBANY,NYSDOT,NYSDOT,4.136
1060290,ALBANY,NYSDOT,NYSDOT,6.344
1060300,ALBANY,NYSDOT,NYSDOT,3.439
1060310,ALBANY,NYSDOT,NYSDOT,6.238
1060320,ALBANY,NYSDOT,NYSDOT,6.185
1060340,ALBANY,NYSDOT,NYSDOT,6.278
1060350,ALBANY,NYSDOT,NYSDOT,5.417
1060360,ALBANY,NYSDOT,NYSDOT,5.125
1062850,ALBANY,NYSDOT,NYSDOT,4.208
106285A,ALBANY,NYSDOT,NYSDOT,5.397
1069310,ALBANY,NYSDOT,NYSDOT,6
1070869,ALBANY,NYSDOT,NYSDOT,5.141
107086A,ALBANY,NYSDOT,NYSDOT,6.493
107086B,ALBANY,NYSDOT,NYSDOT,6.42
1072440,ALBANY,NYSDOT,NYSDOT,4.969
1072450,ALBANY,NYSDOT,NYSDOT,5.123
1072469,ALBANY,NYSDOT,NYSDOT,6.79
1072479,ALBANY,NYSDOT,NYSDOT,5.464
1072489,ALBANY,NYSDOT,NYSDOT,6.151
1072860,ALBANY,NYSDOT,NYSDOT,5.388
1073009,ALBANY,NYSDOT,NYSDOT,5.053
1073090,ALBANY,NYSDOT,NYSDOT,6.209
1073100,ALBANY,NYSDOT,NYSDOT,4.477
1073110,ALBANY,NYSDOT,NYSDOT,4.646
1073120,ALBANY,NYSDOT,NYSDOT,4.952
1073130,ALBANY,NYSDOT,NYSDOT,4.114
1073149,ALBANY,NYSDOT,NYSDOT,6.512
1073190,ALBANY,NYSDOT,NYSDOT,4.829
1073500,ALBANY,NYSDOT,NYSDOT,4.891
1073511,ALBANY,NYSDOT,NYSDOT,5.082
1073512,ALBANY,NYSDOT,NYSDOT,4.852
1073521,ALBANY,NYSDOT,NYSDOT,5.836
1073522,ALBANY,NYSDOT,NYSDOT,5.213
1073530,ALBANY,NYSDOT,NYSDOT,5.493
1073540,ALBANY,NYSDOT,NYSDOT,5.536
1073550,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.623
1073560,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.232
1073570,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.507
1073580,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.159
1074500,ALBANY,NYSDOT,NYSDOT,5.652
1074940,ALBANY,NYSDOT,NYSDOT,4.268
1074990,ALBANY,NYSDOT,NYSDOT,5
1077170,ALBANY,NYSDOT,NYSDOT,6.185
1077180,ALBANY,NYSDOT,NYSDOT,5.407
1078661,ALBANY,NYSDOT,NYSDOT,6.261
1078662,ALBANY,NYSDOT,NYSDOT,6.348
1078840,ALBANY,NYSDOT,NYSDOT,6.385
1079440,ALBANY,NYSDOT,NYSDOT,6.649
1079450,ALBANY,NYSDOT,NYSDOT,6.649
1079780,ALBANY,NYSDOT,NYSDOT,6.333
1079830,ALBANY,20 - State - Other,20 - State - Other,6.228
1079970,ALBANY,20 - State - Other,20 - State - Other,
1080030,ALBANY,NYSDOT,NYSDOT,7
1092250,ALBANY,NYSDOT,NYSDOT,5
1092269,ALBANY,NYSDOT,NYSDOT,4.509
1092281,ALBANY,NYSDOT,NYSDOT,5.613
1092282,ALBANY,NYSDOT,NYSDOT,5.387
1092319,ALBANY,NYSDOT,NYSDOT,5.484
1092329,ALBANY,NYSDOT,NYSDOT,5.758
1092360,ALBANY,NYSDOT,NYSDOT,4
1092371,ALBANY,NYSDOT,NYSDOT,4.71
1092372,ALBANY,NYSDOT,NYSDOT,5.145
1092389,ALBANY,NYSDOT,NYSDOT,5.391
1092390,ALBANY,NYSDOT,NYSDOT,5.469
1092409,ALBANY,NYSDOT,NYSDOT,4.632
1092419,ALBANY,NYSDOT,NYSDOT,6.471
1092421,ALBANY,NYSDOT,NYSDOT,6.672
1092422,ALBANY,NYSDOT,NYSDOT,6.607
1092431,ALBANY,NYSDOT,NYSDOT,5.475
1092432,ALBANY,NYSDOT,NYSDOT,5.475
1092441,ALBANY,NYSDOT,NYSDOT,5.492
1092442,ALBANY,NYSDOT,NYSDOT,6.066
1092451,ALBANY,NYSDOT,NYSDOT,5.857
1092452,ALBANY,NYSDOT,NYSDOT,6.329
1092461,ALBANY,NYSDOT,NYSDOT,6.215
1092462,ALBANY,NYSDOT,NYSDOT,6.277
1092471,ALBANY,NYSDOT,NYSDOT,5.477
1092472,ALBANY,NYSDOT,NYSDOT,5.323
1092480,ALBANY,NYSDOT,NYSDOT,4.903
1092491,ALBANY,NYSDOT,NYSDOT,5.229
1092492,ALBANY,NYSDOT,NYSDOT,5.629
1092509,ALBANY,NYSDOT,NYSDOT,5.323
1092511,ALBANY,NYSDOT,NYSDOT,4.214
1092512,ALBANY,NYSDOT,NYSDOT,4.448
1092520,ALBANY,NYSDOT,NYSDOT,4.672
1092539,ALBANY,NYSDOT,NYSDOT,5.552
1092549,ALBANY,NYSDOT,NYSDOT,5.138
109254A,ALBANY,NYSDOT,NYSDOT,5.343
109254B,ALBANY,NYSDOT,NYSDOT,4.2
109254C,ALBANY,NYSDOT,NYSDOT,5.228
109254D,ALBANY,NYSDOT,NYSDOT,4.429
1092550,ALBANY,NYSDOT,NYSDOT,4.486
1092560,ALBANY,NYSDOT,NYSDOT,5.028
1092579,ALBANY,NYSDOT,NYSDOT,4.986
1092589,ALBANY,NYSDOT,NYSDOT,6.348
1092839,ALBANY,NYSDOT,NYSDOT,4.754
109283A,ALBANY,NYSDOT,NYSDOT,6.803
109283B,ALBANY,NYSDOT,NYSDOT,6.77
1092840,ALBANY,NYSDOT,NYSDOT,4
1092850,ALBANY,NYSDOT,NYSDOT,4
1092860,ALBANY,NYSDOT,NYSDOT,5
1092870,ALBANY,NYSDOT,NYSDOT,5
1092881,ALBANY,NYSDOT,NYSDOT,5.186
1092882,ALBANY,NYSDOT,NYSDOT,5.129
109288A,ALBANY,NYSDOT,NYSDOT,4.071
109288B,ALBANY,NYSDOT,NYSDOT,5.826
109288C,ALBANY,NYSDOT,NYSDOT,3.714
109288D,ALBANY,NYSDOT,NYSDOT,4
1092920,ALBANY,NYSDOT,NYSDOT,4.056
1092940,ALBANY,NYSDOT,NYSDOT,3.91
109294A,ALBANY,NYSDOT,NYSDOT,3.481
1092951,ALBANY,NYSDOT,NYSDOT,6.274
1092952,ALBANY,NYSDOT,NYSDOT,5.737
1092970,ALBANY,NYSDOT,NYSDOT,4.833
109297A,ALBANY,NYSDOT,NYSDOT,4.704
1092981,ALBANY,NYSDOT,NYSDOT,4.851
1092982,ALBANY,NYSDOT,NYSDOT,5.239
109298A,ALBANY,NYSDOT,NYSDOT,4.764
109298B,ALBANY,NYSDOT,NYSDOT,3.613
109298C,ALBANY,NYSDOT,NYSDOT,5.019
109298D,ALBANY,NYSDOT,NYSDOT,4.917
1092991,ALBANY,NYSDOT,NYSDOT,4.7
1092992,ALBANY,NYSDOT,NYSDOT,4.7
109299A,ALBANY,NYSDOT,NYSDOT,4.29
109299B,ALBANY,NYSDOT,NYSDOT,4.296
1093010,ALBANY,NYSDOT,NYSDOT,3.899
1093029,ALBANY,NYSDOT,NYSDOT,4.194
1093140,ALBANY,20 - State - Other,20 - State - Other,4.25
1093151,ALBANY,20 - State - Other,20 - State - Other,5.984
1093152,ALBANY,20 - State - Other,20 - State - Other,6.063
1093160,ALBANY,20 - State - Other,20 - State - Other,5.172
1093170,ALBANY,20 - State - Other,20 - State - Other,4.79
1093180,ALBANY,20 - State - Other,20 - State - Other,4.734
1093209,ALBANY,NYSDOT,NYSDOT,6.097
1094131,ALBANY,NYSDOT,NYSDOT,5.453
1094132,ALBANY,NYSDOT,NYSDOT,5.75
1095889,ALBANY,NYSDOT,NYSDOT,5.453
1095890,ALBANY,NYSDOT,NYSDOT,4.269
1095909,ALBANY,NYSDOT,NYSDOT,6.034
1095910,ALBANY,NYSDOT,NYSDOT,6.222
2007550,ALBANY,70 - Private - Industrial,70 - Private - Industrial,0
2038090,ALBANY,70 - Private - Industrial,70 - Private - Industrial,0
2200130,ALBANY,40 - Town,40 - Town,6.333
2200140,ALBANY,40 - Town,40 - Town,6.635
2200210,ALBANY,30 - County,30 - County,7
2200220,ALBANY,60 - Railroad,40 - Town,0
2200230,ALBANY,60 - Railroad,40 - Town,0
2200270,ALBANY,42 - City,42 - City,5.194
2200300,ALBANY,42 - City,42 - City,0
2200390,ALBANY,42 - City,42 - City,5.972
2200460,ALBANY,42 - City,42 - City,5.875
2200470,ALBANY,42 - City,42 - City,5.418
2256840,ALBANY,42 - City,42 - City,4.333
2259570,ALBANY,42 - City,42 - City,0
2259580,ALBANY,42 - City,42 - City,0
2259590,ALBANY,41 - Village,41 - Village,0
2269230,ALBANY,41 - Village,41 - Village,6.269
2269640,ALBANY,42 - City,42 - City,6.169
2269650,ALBANY,30 - County,30 - County,6.333
2270320,ALBANY,40 - Town,40 - Town,5.857
3200120,ALBANY,60 - Railroad,30 - County,2.884
3200240,ALBANY,30 - County,30 - County,6.435
3200250,ALBANY,30 - County,30 - County,6
3300860,ALBANY,30 - County,30 - County,4.813
3300870,ALBANY,30 - County,30 - County,6.365
3300880,ALBANY,30 - County,30 - County,6.386
3300890,ALBANY,30 - County,30 - County,5.979
3300900,ALBANY,30 - County,30 - County,5.731
3300910,ALBANY,30 - County,30 - County,5.404
3300920,ALBANY,30 - County,30 - County,6.333
3300930,ALBANY,30 - County,30 - County,6.867
3300940,ALBANY,30 - County,30 - County,6.886
3300960,ALBANY,30 - County,30 - County,5
3300970,ALBANY,30 - County,20 - State - Other,0
3301000,ALBANY,30 - County,30 - County,6.667
3301010,ALBANY,30 - County,30 - County,6.63
3301020,ALBANY,30 - County,30 - County,5.083
3301030,ALBANY,30 - County,30 - County,6.021
3301040,ALBANY,30 - County,30 - County,4.208
3301050,ALBANY,30 - County,30 - County,6
3301070,ALBANY,30 - County,30 - County,4.435
3301080,ALBANY,30 - County,30 - County,5.439
3301090,ALBANY,30 - County,30 - County,5.263
3301100,ALBANY,30 - County,30 - County,4.702
3301140,ALBANY,30 - County,30 - County,0
3301150,ALBANY,30 - County,30 - County,6.311
3301160,ALBANY,30 - County,30 - County,4.927
3301170,ALBANY,30 - County,30 - County,6.867
3301180,ALBANY,30 - County,30 - County,6.246
3301190,ALBANY,30 - County,30 - County,6.088
3301200,ALBANY,30 - County,30 - County,5.263
3301210,ALBANY,30 - County,30 - County,6.918
3301240,ALBANY,60 - Railroad,30 - County,6.597
3301250,ALBANY,30 - County,30 - County,5.333
3301260,ALBANY,30 - County,30 - County,6.333
3301270,ALBANY,30 - County,30 - County,5.544
3301280,ALBANY,30 - County,30 - County,6.486
3301290,ALBANY,30 - County,30 - County,6.509
3301300,ALBANY,30 - County,30 - County,5.357
3301310,ALBANY,30 - County,30 - County,4.686
3301320,ALBANY,30 - County,30 - County,6.423
3301330,ALBANY,30 - County,30 - County,6.063
3301340,ALBANY,30 - County,30 - County,4.393
3301350,ALBANY,30 - County,30 - County,6.912
3301360,ALBANY,30 - County,30 - County,5.6
3301370,ALBANY,30 - County,30 - County,4.321
3301380,ALBANY,30 - County,30 - County,5.557
3301390,ALBANY,30 - County,30 - County,5.482
3301400,ALBANY,30 - County,30 - County,4.41
3301410,ALBANY,30 - County,30 - County,2.667
3301420,ALBANY,30 - County,30 - County,7
3301430,ALBANY,30 - County,30 - County,5.333
3301440,ALBANY,30 - County,30 - County,5.738
3301450,ALBANY,30 - County,30 - County,7
3301460,ALBANY,30 - County,30 - County,5.61
3301470,ALBANY,30 - County,30 - County,5.86
3301480,ALBANY,30 - County,30 - County,5.831
3301490,ALBANY,30 - County,30 - County,5.182
3301500,ALBANY,30 - County,30 - County,4.918
3301510,ALBANY,30 - County,30 - County,6.83
3301520,ALBANY,30 - County,30 - County,4.875
3301530,ALBANY,30 - County,30 - County,6.517
3301540,ALBANY,30 - County,30 - County,7
3301550,ALBANY,30 - County,30 - County,6.489
3301560,ALBANY,30 - County,30 - County,5.038
3301570,ALBANY,30 - County,30 - County,5.07
3301580,ALBANY,30 - County,30 - County,5.745
3301590,ALBANY,30 - County,30 - County,5.275
3302920,ALBANY,30 - County,30 - County,5.481
3302970,ALBANY,60 - Railroad,40 - Town,5.439
3302980,ALBANY,40 - Town,40 - Town,6.058
3363610,ALBANY,30 - County,30 - County,6
3369300,ALBANY,30 - County,30 - County,7
3370070,ALBANY,30 - County,30 - County,6.193
4005580,ALBANY,NYSDOT,NYSDOT,6.169
4033181,ALBANY,NYSDOT,NYSDOT,5.033
4033182,ALBANY,NYSDOT,NYSDOT,4.82
4093220,ALBANY,NYSDOT,NYSDOT,4.522
5006599,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,3.87
5038059,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.297
5038119,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.222
5053419,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.594
5513329,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.194
5513339,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,3.87
5513349,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.094
5513350,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.29
5513491,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.702
5513492,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.93
5513500,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.813
5513511,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.203
5513512,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.304
5513520,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.906
5513530,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.623
5513549,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.101
5513550,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.727
5513561,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.13
5513562,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.899
5513570,ALBANY,42 - City,2L - NYS Thruway Authority,4.556
5513580,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.431
5513599,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.875
5513600,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.594
5513610,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.529
5513640,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,6.738
5513650,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.21
5524230,ALBANY,20 - State - Other,20 - State - Other,6.436
5524420,ALBANY,NYSDOT,NYSDOT,5.406
7002631,ALBANY,60 - Railroad,60 - Railroad,0
7002632,ALBANY,60 - Railroad,60 - Railroad,0
7006580,ALBANY,60 - Railroad,60 - Railroad,0
7015960,ALBANY,60 - Railroad,60 - Railroad,
7018190,ALBANY,60 - Railroad,60 - Railroad,0
7022460,ALBANY,30 - County,30 - County,0
7022491,ALBANY,60 - Railroad,60 - Railroad,0
7022492,ALBANY,60 - Railroad,60 - Railroad,0
7025290,ALBANY,60 - Railroad,60 - Railroad,0
7025300,ALBANY,30 - County,30 - County,0
7032640,ALBANY,60 - Railroad,60 - Railroad,0
7032650,ALBANY,30 - County,30 - County,0
7032710,ALBANY,60 - Railroad,60 - Railroad,0
7038040,ALBANY,60 - Railroad,60 - Railroad,
7038610,ALBANY,30 - County,30 - County,0
7046170,ALBANY,30 - County,30 - County,0
7047500,ALBANY,60 - Railroad,60 - Railroad,0
7053420,ALBANY,60 - Railroad,60 - Railroad,0
7092300,ALBANY,NYSDOT,NYSDOT,5.182
7092890,ALBANY,60 - Railroad,60 - Railroad,0
7092900,ALBANY,60 - Railroad,60 - Railroad,0
7092960,ALBANY,NYSDOT,NYSDOT,5.98
7093000,ALBANY,NYSDOT,NYSDOT,5.306
7095960,ALBANY,20 - State - Other,20 - State - Other,0
7200339,ALBANY,60 - Railroad,60 - Railroad,0
7301220,ALBANY,60 - Railroad,60 - Railroad,0
7701710,ALBANY,20 - State - Other,20 - State - Other,0
7708990,ALBANY,60 - Railroad,60 - Railroad,0
7709000,ALBANY,20 - State - Other,20 - State - Other,4.672
7709011,ALBANY,60 - Railroad,60 - Railroad,0
7709012,ALBANY,60 - Railroad,60 - Railroad,0
7709021,ALBANY,60 - Railroad,60 - Railroad,0
7709022,ALBANY,60 - Railroad,60 - Railroad,0
7709023,ALBANY,60 - Railroad,60 - Railroad,0
770902A,ALBANY,60 - Railroad,60 - Railroad,0
